name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,owners_rank,appid
Holdfast: Nations At War,2017-09-21,0.50962,Anvil Game Studios,Anvil Game Studios,windows,-0.51125,Online Multi-Player,Action;Indie;Early Access,Early Access;Historical;Multiplayer,-0.70668,1.99645,1.55526,5.70055,6.99175,100000-200000,1.9433,8.0,589290
Legend of the Skyfish,2017-02-24,0.50962,Mgaia Studio,Crescent Moon Games,windows;mac,-0.51125,Single-player;Full controller support,Adventure;Indie,Adventure;Indie;Puzzle,-0.70668,-0.58198,-0.59287,-0.60557,-0.60643,0-20000,-0.10645,11.0,589300
Catch a Lover,2017-07-24,0.50962,Toxic Dog,Toxic Dog,windows,-0.51125,Multi-player;Online Multi-Player;Local Multi-Player;Steam Achievements;Steam Trading Cards;Steam Cloud,Action;Indie,Indie;Action;Funny,-0.53489,-0.49983,-0.20844,-0.53281,-0.53169,20000-50000,-0.23729,10.0,589320
Ni no Kuni™ II: Revenant Kingdom,2018-03-23,0.50962,Level-5,BANDAI NAMCO Entertainment,windows,-0.51125,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Adventure;RPG,RPG;Anime;JRPG,0.27723,1.32133,1.25299,6.95773,11.01505,100000-200000,9.57536,8.0,589360
VRog,2017-02-09,0.50962,ByteRockers' Games,ByteRockers' Games,windows,-0.51125,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,Action;Indie,Action;Indie;VR,-0.51927,-0.58853,-0.60754,-0.60557,-0.60643,0-20000,-0.69521,11.0,589380
Dammerlicht,2017-02-16,0.50962,Royal Tea Time Studio,Royal Tea Time Studio,windows;mac;linux,-0.51125,Single-player,Indie,Indie,-0.70668,-0.58972,-0.61341,-0.60557,-0.60643,0-20000,-1.15314,11.0,589410
Grass Cutter - Mutated Lawns,2017-03-24,0.50962,usanik,usanik,windows;mac;linux,-0.51125,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards;Commentary available,Action;Casual;Indie;Simulation,Indie;Action;Casual,-0.00389,-0.47363,-0.55178,0.51821,0.57274,50000-100000,-0.78244,9.0,589420
Obscure Realm,2017-12-11,0.50962,GCRH,Vault Interactive,windows,-0.51125,Single-player;Steam Achievements;Steam Trading Cards,Action;Adventure;Casual;Indie,Action;Casual;Adventure,-0.48803,-0.59091,-0.61341,-0.60557,-0.60643,0-20000,-1.15314,11.0,589440
Covert Syndrome,2017-04-21,0.50962,Offworld Industries,Offworld Industries,windows,-0.51125,Single-player;Co-op;Online Co-op;Local Co-op;Steam Achievements;Stats;Steam Leaderboards,Violent;Action;Casual;Free to Play;Indie,Free to Play;Action;Violent,-0.53489,-0.54745,-0.53124,-0.60557,-0.60643,20000-50000,-1.3254,10.0,589460
Myrne: The Quest,2017-05-31,0.50962,Beldarak Games,Beldarak Games,windows;mac;linux,-0.51125,Single-player;Steam Achievements;Steam Trading Cards,Action;Indie;RPG,Action;Indie;RPG,-0.5505,-0.58377,-0.60754,-0.60557,-0.60643,0-20000,-0.01923,11.0,589470
The Falconers: Moonlight,2017-04-18,0.50962,Bionic Penguin,Sekai Project,windows;mac;linux,-0.51125,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Gore;Adventure;Casual;Indie,Adventure;Indie;Casual,-0.53489,-0.57186,-0.61634,-0.60557,-0.60643,0-20000,0.19883,11.0,589480
Shovel Knight: Specter of Torment,2017-04-05,0.50962,Yacht Club Games,Yacht Club Games,windows;mac;linux,-0.51125,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie,Action;Indie;Adventure,-0.39433,-0.52483,-0.58113,-0.60557,-0.60643,0-20000,0.19883,11.0,589510
Hakuoki: Kyoto Winds / 薄桜鬼 真改　風ノ章 / 薄櫻鬼 真改　風之章,2017-08-24,0.50962,Idea Factory;Design Factory,Idea Factory International,windows,-0.51125,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Violent;Adventure,Adventure;Visual Novel;Violent,-0.14445,-0.40993,-0.46375,-0.60557,-0.60643,20000-50000,3.68777,10.0,589530
Kindergarten,2017-06-15,0.50962,Con Man Games;SmashGames,SmashGames,windows;mac;linux,-0.51125,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Violent;Gore;Adventure;Indie,Funny;Gore;Violent,-0.58174,0.64026,-0.21431,-0.14474,-0.07912,100000-200000,-0.45535,8.0,589590
It Lurks in the Woods,2017-02-08,0.50962,Olivier LeClair,Olivier LeClair,windows,-0.51125,Single-player,Gore;Adventure;Indie,Indie;Adventure;Gore,-0.70668,-0.57484,-0.57233,-0.60557,-0.60643,0-20000,-1.3254,11.0,589620
Spoids,2017-02-20,0.50962,AirWave Games,BindleBot,windows,-0.51125,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Indie;Strategy,Strategy;Indie;Action,-0.51927,-0.57722,-0.58993,-0.60557,-0.60643,0-20000,-0.95688,11.0,589640
Double Kick Heroes,2018-04-11,0.50962,Headbang Club,Headbang Club;WhisperGames;Kakehashi,windows;mac,-0.51125,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Includes level editor,Early Access,Early Access;Rhythm;Great Soundtrack,-0.47242,-0.53198,-0.55178,-0.60557,-0.60643,0-20000,1.61621,11.0,589670
Chainless,2017-03-24,0.50962,Albert MN.,Albert MN.,windows,-0.51125,Single-player;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards,Action;Adventure;Casual;Indie,Adventure;Indie;Casual,-0.53489,-0.58853,-0.61928,-0.60557,-0.60643,0-20000,-0.45535,11.0,589680
Queen's Quest 3: The End of Dawn,2017-04-27,0.50962,Brave Giant LTD,Artifex Mundi,windows;mac;linux,-0.51125,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual,Casual;Adventure;Hidden Object,-0.42556,-0.57663,-0.587,-0.60557,-0.60643,0-20000,0.19883,11.0,589690
Tyd wag vir Niemand (Time waits for Nobody),2017-07-07,0.50962,Skobbejak Games,Skobbejak Games,windows;mac;linux,-0.51125,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Indie,Adventure;Indie;First-Person,-0.48803,-0.58079,-0.57233,-0.60557,-0.60643,20000-50000,0.19883,10.0,589730
Blue Horizon,2017-08-18,0.50962,Blue Horizon Studios Ltd,Blue Horizon Studios Ltd,windows,-0.51125,Single-player;Steam Achievements;Partial Controller Support,Action;Adventure;Indie;RPG,Adventure;Action;RPG,-0.23815,-0.58139,-0.54005,-0.60557,-0.60643,0-20000,-0.70394,11.0,589740
Revhead,2017-03-09,0.50962,Creative Pudding Hungary Llc.,Creative Pudding Hungary Llc.,windows;mac;linux,-0.51125,Single-player;Partial Controller Support,Action;Indie;Racing;Simulation,Racing;Action;Indie,-0.70668,-0.50102,-0.47255,-0.60557,-0.60643,0-20000,1.9433,11.0,589760
Green Elephant 2D,2017-04-20,0.50962,4Fufelz,4Fufelz,windows,-0.51125,Single-player;Steam Trading Cards;Partial Controller Support,Violent;Action;Adventure;Indie;Early Access,Early Access;Action;Indie,-0.70668,-0.44386,-0.58113,0.42928,0.45649,50000-100000,-0.95688,9.0,589770
The Red Strings Club,2018-01-22,0.50962,Deconstructeam,Devolver Digital,windows;mac;linux,-0.51125,Single-player;Steam Achievements,Nudity;Violent;Adventure;Indie,Cyberpunk;Pixel Graphics;Story Rich,-0.40994,1.00461,0.02927,-0.19729,-0.14555,200000-500000,1.15829,7.0,589780
Leashed Soul,2017-07-31,0.50962,Level One Games,LumiNet,windows;mac;linux,-0.51125,Single-player;Full controller support;Steam Trading Cards,Adventure;Casual;Indie,Casual;Indie;Adventure,-0.70668,-0.58258,-0.61048,-0.60557,-0.60643,0-20000,-0.45535,11.0,589850
SoulSet,2017-02-07,0.50962,NoBreadStudio,NoBreadStudio,windows;mac;linux,-0.51125,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Casual;Indie,Sexual Content;Visual Novel;Indie,-0.1913,-0.56412,-0.61341,-0.60557,-0.60643,0-20000,1.50718,11.0,589860
Learn to Fly 3,2017-05-12,0.50962,Light Bringer Games inc.,Light Bringer Games inc.,windows,-0.51125,Single-player;Steam Achievements;Steam Trading Cards;In-App Purchases;Steam Cloud;Stats,Action;Casual;Free to Play;Indie;Simulation;Strategy,Free to Play;Casual;Indie,-0.08197,0.54798,0.17306,0.2312,0.51462,500000-1000000,-1.3254,6.0,589870
The Frontier Outskirts VR,2018-05-14,0.50962,Struct9,Struct9,windows,-0.51125,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op,Action;Adventure;Indie;Simulation,Action;Simulation;Adventure,-0.70668,-0.59211,-0.59287,-0.60557,-0.60643,0-20000,0.24244,11.0,590250
Catsby,2017-04-05,0.50962,OOTOTGames,OOTOTGames,windows;mac,-0.51125,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,Adventure;Indie,Adventure;Indie;Retro,-0.42556,-0.58675,-0.59874,-0.60557,-0.60643,0-20000,-0.45535,11.0,590270
Canvas The Gallery,2017-02-16,0.50962,CoughE,CoughE,windows,-0.51125,Single-player;Steam Cloud,Casual;Free to Play;Indie;Simulation,Free to Play;Casual;Indie,-0.70668,-0.48494,-0.58113,-0.60557,-0.60643,20000-50000,-1.3254,10.0,590280
Tiny Troopers 2,2017-05-31,0.50962,Starloop Studios SL;Kukouri,Game Troopers SL,windows;mac,-0.51125,Single-player;Steam Achievements;Full controller support;Steam Cloud;Stats,Action;Casual;Indie,Casual;Action;Indie,-0.39433,-0.58972,-0.60461,-0.60557,-0.60643,0-20000,-0.2809,11.0,590370
Into the Breach,2018-02-27,0.50962,Subset Games,Subset Games,windows;mac,-0.51125,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Indie;RPG;Simulation;Strategy,Strategy;Turn-Based Strategy;Pixel Graphics,0.15229,2.52691,0.63086,4.55655,6.60977,200000-500000,1.15829,7.0,590380
BeefeaterXO,2017-02-14,0.50962,Future Lighthouse,Future Lighthouse,windows,-0.51125,Single-player,Nudity;Adventure,Adventure;Nudity;VR,-0.70668,-0.59091,-0.60461,-0.60557,-0.60643,0-20000,-1.3254,11.0,590430
Carlos III y la difusión de la antigüedad,2017-03-13,-26.49217,Future Lighthouse,Future Lighthouse,windows,-0.51125,Single-player,Adventure,Adventure,-0.70668,-0.5933,-0.61634,-0.60557,-0.60643,50000-100000,-1.3254,9.0,590440
World Builder,2017-03-14,0.50962,"Guruji VR, Inc","Guruji VR, Inc",windows,-0.51125,Single-player;Steam Workshop;Includes level editor,Casual;Indie;Simulation,Indie;Simulation;Casual,-0.70668,-0.58615,-0.61048,-0.60557,-0.60643,0-20000,0.19883,11.0,590530
